0,303,182,522,286,418,302,748,394,246,331,344,633,1037,1018,588,1083
336,0,190,1164,652,1141,584,1658,743,1010,1105,1014,797,1019,9223372036854775807,1421,1028
229,147,0,587,594,1035,284,1011,1006,366,430,555,575,418,1039,1080,1148
426,705,510,0,147,761,819,1296,260,1566,491,1002,651,1106,351,526,1055
346,585,352,199,0,273,280,1047,9223372036854775807,410,359,296,675,633,273,450,1003
490,1000,608,1004,252,0,1179,11336,249,644,1099,1189,1235,1156,2402,1284,1044
309,331,176,860,367,1065,0,283,439,467,599,503,762,1004,971,1030,1023
767,1107,629,1062,683,1266,388,0,1075,1003,1094,1136,1042,1313,1406,1419,1370
469,643,432,248,139,265,466,1155,0,474,1025,1059,772,1117,386,1010,1049
195,392,210,538,306,1571,642,1007,402,0,103,102,564,389,644,1019,681
355,494,421,1274,1157,1377,556,1217,1096,118,0,134,513,478,551,665,589
388,523,418,1879,1015,2200,690,1147,2251,152,106,0,550,400,518,403,611
407,493,438,1295,660,2087,744,1020,1726,452,424,626,0,1268,812,381,541
2357,1032,1099,1172,1048,3732,1034,1099,3123,225,264,440,353,0,1027,1112,1091
1068,1041,1140,467,257,1081,1380,1432,378,1004,583,495,1071,1166,0,346,217
1016,1024,1037,611,699,1045,1341,1199,1098,1020,670,516,670,1030,486,0,374
856,1047,1028,1020,491,1219,1178,1501,1184,1010,681,669,687,1100,133,126,0
